Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
436,155,2546,2211,2211,145,145,203,104,555,18,594,657,20045,48,155,145,408,2573,258,125,159,1015,587,385,81,39.9015,224,1.00707,4581,3248,6,1,1,0,1,70,7099,2932,34.9704,20.6479
436,207,4360,3799,3799,291,291,389,167,635,45,796,871,20030,79,196,261,408,2573,480,228,312,1868,1080,839,181,46.5296,462,1.01266,6507,4292,12,1,1,0,1,145,14613,6395,37.5656,22.128
436,259,6181,5371,5371,492,492,615,221,766,75,995,1090,20020,106,258,486,408,2573,784,321,496,2646,1551,1390,306,49.7561,799,1.02359,8401,5275,17,1,1,0,1,245,25061,10926,40.7496,22.5278
436,311,7834,6817,6817,727,727,831,208,937,123,1195,1312,19994,120,286,612,408,2573,1061,464,691,3330,1913,2145,455,54.7533,1231,1.02957,10349,6304,29,1,1,0,1,360,36804,16734,44.2888,23.274
436,363,9077,7860,7860,920,920,1011,188,1095,177,1392,1533,19964,121,340,844,408,2573,1318,619,855,3771,2131,2704,577,57.0722,1547,1.04079,12168,7181,35,1,1,0,1,460,47495,22511,46.9782,24.5485
436,415,9898,8543,8543,1077,1077,1131,123,1232,228,1591,1753,19934,121,340,844,408,2573,1485,756,984,4061,2230,3177,684,60.4775,1795,1.04037,13919,8025,47,1,1,0,1,535,55993,27457,49.5075,25.5414
436,467,10341,8908,8908,1174,1174,1217,79,1329,261,1789,1971,19921,121,340,844,408,2573,1593,838,1060,4188,2279,3445,742,60.9696,1951,1.03995,15621,8867,49,1,1,0,1,585,61477,30647,50.5152,26.1716
436,519,10618,9131,9131,1229,1229,1256,37,1387,289,1985,2192,19918,121,340,844,408,2573,1648,915,1111,4269,2286,3617,781,62.1815,2054,1.03954,17051,9424,51,1,1,0,1,610,64569,32494,51.4084,26.4825
437,51,636,573,573,13,13,40,39,413,0,192,223,20031,12,51,13,391,2524,24,15,19,152,35,15,4,10,10,1.00064,1055,1055,0,1,1,0,1,5,790,119,19.75,9.91667
437,103,1155,1020,1020,57,57,86,48,437,6,393,443,20044,20,67,28,388,2524,100,94,63,363,152,158,38,44.186,97,1.00137,2661,2148,1,1,1,0,1,25,2975,966,34.593,17.5636
437,155,1885,1653,1653,116,116,155,69,476,15,596,661,20050,31,150,110,390,2524,209,163,123,664,343,360,79,50.9677,225,1.00535,4497,3179,2,1,1,0,1,55,5923,2147,38.2129,18.6696
437,207,2941,2585,2585,199,199,256,99,531,27,797,887,20063,46,207,199,390,2524,346,231,229,1109,647,593,127,49.6094,377,1.00962,6396,4185,5,1,1,0,1,95,10171,3976,39.7305,20.1827
437,259,4211,3708,3708,319,319,382,111,617,47,997,1111,20067,64,244,294,390,2524,513,298,350,1727,951,958,203,53.1414,577,1.01412,8376,5233,10,1,1,0,1,155,15776,6779,41.2984,21.4525
437,311,5400,4756,4756,438,438,510,115,707,75,1196,1331,20060,66,271,352,390,2524,694,420,468,2258,1192,1308,279,54.7059,768,1.01678,10356,6215,12,1,1,0,1,215,21787,9792,42.7196,22.5622
437,363,6557,5747,5747,576,576,639,125,804,99,1393,1555,20063,69,350,544,390,2524,875,555,590,2732,1435,1731,374,58.529,1029,1.02589,12283,7179,19,1,1,0,1,285,28469,13004,44.5524,22.7741
437,415,7540,6586,6586,704,704,769,124,905,129,1594,1777,20054,70,369,591,390,2524,1026,690,713,3102,1640,2082,456,59.2978,1262,1.0279,14088,8020,25,1,1,0,1,350,35131,16290,45.684,23.2051
437,467,8251,7185,7185,818,818,863,90,1002,161,1791,1996,20044,70,369,591,390,2524,1158,792,798,3376,1758,2447,530,61.4137,1474,1.02761,15836,8900,28,1,1,0,1,405,40825,19397,47.3059,23.7708
437,519,8725,7564,7564,902,902,940,77,1076,179,1989,2221,20053,70,369,591,390,2524,1243,874,856,3565,1811,2661,578,61.4894,1600,1.02732,17227,9435,33,1,1,0,1,450,45247,21736,48.1351,24.2319
438,51,658,586,586,19,19,32,27,440,1,199,225,20025,14,51,19,386,2584,26,27,14,166,39,23,7,21.875,16,1.00094,1055,1055,0,1,1,0,1,5,750,233,23.4375,13.7059
438,103,1206,1071,1071,54,54,83,47,462,6,397,444,20041,23,96,51,384,2584,100,106,60,410,149,138,29,34.9398,81,1.0025,2642,2125,1,1,1,0,1,25,2770,1045,33.3735,20.0962
438,155,1987,1752,1752,121,121,155,73,501,14,596,662,20052,40,152,117,385,2584,210,170,138,726,362,292,63,40.6452,168,1.00569,4531,3200,5,1,1,0,1,60,5894,2446,38.0258,20.7288
438,207,3141,2765,2765,201,201,269,106,558,30,795,880,20055,42,157,124,385,2584,364,232,231,1264,676,552,110,40.8922,305,1.00597,6524,4232,7,1,1,0,1,100,10297,4148,38.2788,21.0558
438,259,4532,3973,3973,336,336,400,132,641,46,996,1101,20059,75,255,330,385,2584,570,300,373,1840,1079,922,196,49,528,1.01589,8517,5231,16,1,1,0,1,165,16849,7275,42.1225,21.8468
438,311,6014,5284,5284,486,486,571,158,740,83,1197,1316,20036,84,292,437,385,2584,784,373,528,2528,1435,1347,291,50.9632,786,1.02093,10551,6265,27,1,1,0,1,240,24891,11175,43.5919,23.2328
438,363,7270,6391,6391,639,639,711,141,870,118,1389,1546,20039,84,292,437,385,2584,974,422,675,3117,1713,1815,387,54.4304,1070,1.0207,12449,7139,30,1,1,0,1,315,32591,14801,45.8383,23.2355
438,415,8061,7073,7073,757,757,818,104,975,159,1593,1766,20014,84,292,437,385,2584,1112,526,783,3386,1886,2179,466,56.9682,1289,1.02049,14249,7981,37,1,1,0,1,375,39267,18447,48.0037,24.4331
438,467,8739,7644,7644,867,867,910,91,1055,180,1784,1990,20026,84,292,437,385,2584,1231,661,876,3626,1979,2459,525,57.6923,1451,1.02028,16037,8876,41,1,1,0,1,430,44495,21189,48.8956,24.496
438,519,9178,7994,7994,944,944,978,70,1121,206,1985,2205,20014,84,292,437,385,2584,1309,783,940,3755,2020,2674,577,58.998,1581,1.02008,17463,9437,44,1,1,0,1,470,48927,23765,50.0276,25.2282
439,51,611,545,545,15,15,38,30,412,0,198,220,20022,9,42,11,366,2575,28,37,14,125,41,45,11,28.9474,29,1.00054,1034,1034,0,1,1,0,1,5,770,130,20.2632,8.66667
439,103,1272,1131,1131,67,67,94,54,439,2,394,439,20043,27,103,67,365,2575,105,139,71,440,157,198,43,45.7447,133,1.00329,2660,2144,0,1,1,0,1,30,3077,927,32.734,14.4844
439,155,1967,1726,1726,130,130,166,65,496,9,596,662,20057,31,106,74,370,2575,208,217,135,675,368,403,85,51.2048,242,1.00359,4557,3222,3,1,1,0,1,65,6213,2304,37.4277,17.8605
439,207,3075,2702,2702,211,211,270,97,553,18,794,881,20069,39,177,164,370,2575,348,304,225,1182,655,663,140,51.8519,407,1.00792,6536,4272,7,1,1,0,1,105,10280,4070,38.0741,19.6618
439,259,4510,3950,3950,329,329,405,139,616,43,996,1101,20062,77,252,318,370,2575,539,374,386,1816,1038,959,206,50.8642,568,1.0153,8501,5291,14,1,1,0,1,160,16550,7115,40.8642,21.6921
439,311,6058,5284,5284,480,480,572,165,717,77,1193,1321,20051,80,297,444,370,2575,773,475,510,2534,1412,1337,291,50.8741,786,1.02127,10533,6320,26,1,1,0,1,240,24540,10671,42.9021,22.4181
439,363,7483,6526,6526,660,660,752,173,847,108,1394,1541,20039,100,353,628,370,2575,985,581,669,3200,1704,1929,417,55.4521,1134,1.03003,12357,7199,40,1,1,0,1,330,33609,15149,44.6928,23.093
439,415,8539,7419,7419,826,826,903,154,975,160,1596,1759,20003,100,353,628,370,2575,1181,754,786,3589,1880,2371,522,57.8073,1396,1.02972,14062,8019,43,1,1,0,1,410,42514,19518,47.0808,23.7157
