Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
447,311,7156,6282,6282,637,637,716,144,960,84,1198,1314,20032,89,277,539,420,2512,837,509,612,3159,1642,16057,472,65.9218,1332,1.02594,9971,6041,21,1,1,1,1,315,30155,13500,42.1159,21.4626
447,363,8104,7107,7107,787,787,862,137,1086,113,1396,1531,20022,89,277,539,420,2512,986,633,747,3539,1800,18756,589,68.3295,1627,1.02568,11958,7088,26,1,1,1,1,390,37529,17398,43.5371,22.3625
447,415,8768,7655,7655,899,899,940,84,1186,152,1590,1751,20009,89,277,539,420,2512,1091,793,841,3742,1896,21256,671,71.383,1824,1.02541,13792,7945,33,1,1,1,1,445,43171,20759,45.9266,23.351
447,467,9264,8073,8073,981,981,1015,67,1262,174,1792,1971,20005,89,277,539,420,2512,1171,895,903,3922,1963,23696,742,73.1034,2023,1.02515,15526,8801,36,1,1,1,1,490,47444,23019,46.7429,23.7065
447,519,9500,8268,8268,1036,1036,1060,46,1312,191,1989,2193,20013,89,277,539,420,2512,1226,960,941,3978,1985,25966,780,73.5849,2128,1.02489,16882,9311,37,1,1,1,1,515,50158,24506,47.3189,23.8617
448,51,818,718,718,26,26,52,37,477,0,199,218,20019,14,47,24,376,2484,38,14,24,310,58,2287,18,34.6154,50,1.00119,1028,1028,0,1,1,1,1,10,991,256,19.0577,9.84615
448,103,1623,1430,1430,92,92,131,63,516,7,399,438,20032,32,89,72,374,2484,153,95,93,693,226,5138,73,55.7252,220,1.00354,2604,2108,2,1,1,1,1,45,3840,1428,29.313,15.5217
448,155,2829,2466,2466,180,180,245,96,594,11,597,659,20051,37,121,121,376,2484,284,146,188,1340,507,7628,143,58.3673,418,1.00589,4480,3180,8,1,1,1,1,90,7820,3090,31.9184,17.3596
448,207,4426,3839,3839,326,326,424,157,697,20,799,878,20059,70,205,323,376,2484,474,192,332,2120,947,10302,253,59.6698,751,1.01571,6457,4242,12,1,1,1,1,160,14634,5942,34.5142,18.2831
448,259,6069,5272,5272,523,523,625,196,827,42,994,1097,20061,105,257,514,376,2484,739,285,487,2860,1348,13104,391,62.56,1095,1.02497,8462,5294,20,1,1,1,1,260,23769,10076,38.0304,19.4143
448,311,7307,6341,6341,709,709,804,164,982,89,1198,1315,20028,105,257,514,376,2484,969,397,634,3312,1653,15927,540,67.1642,1528,1.02471,10470,6329,28,1,1,1,1,350,33451,15005,41.6057,21.3442
448,363,8467,7314,7314,877,877,964,153,1119,125,1392,1537,20020,105,257,514,376,2484,1141,555,753,3854,1820,18601,665,68.9834,1871,1.02445,12467,7338,33,1,1,1,1,435,42098,19133,43.6701,21.9164
448,415,9222,7944,7944,1035,1035,1088,115,1264,156,1591,1754,20007,105,257,514,376,2484,1298,713,848,4085,1918,21226,787,72.3346,2189,1.0242,14342,8217,36,1,1,1,1,515,49109,22852,45.1369,22.2729
448,467,9720,8353,8353,1117,1117,1149,67,1352,183,1790,1972,19999,105,257,514,376,2484,1396,806,916,4259,1982,23517,843,73.3681,2339,1.02395,16077,9045,40,1,1,1,1,555,53797,25696,46.8207,23.1079
448,519,10025,8608,8608,1176,1176,1197,47,1406,202,1990,2186,19994,105,257,514,376,2484,1455,866,964,4370,2004,25711,883,73.7678,2450,1.02372,17476,9591,42,1,1,1,1,585,56631,27212,47.3108,23.2184
449,51,632,553,553,9,9,32,28,414,0,195,220,20025,5,49,8,397,2553,18,12,14,149,42,2323,5,15.625,11,1.0004,1114,1114,0,1,1,1,1,0,592,104,18.5,13
449,103,1339,1184,1184,75,75,100,52,440,2,394,444,20048,34,103,75,387,2553,115,67,93,462,223,5160,52,52,152,1.00368,2713,2173,1,1,1,1,1,35,3232,1071,32.32,14.875
449,155,2289,1992,1992,134,134,193,90,490,13,596,665,20056,35,104,77,391,2553,213,124,179,870,522,7642,96,49.7409,271,1.00374,4593,3240,3,1,1,1,1,65,6740,2538,34.9223,19.0827
449,207,3837,3360,3360,252,252,344,137,555,33,798,888,20057,62,191,217,391,2553,403,204,307,1588,966,10306,189,54.9419,529,1.0105,6564,4303,5,1,1,1,1,125,12850,5175,37.3547,21.0366
449,259,5413,4759,4759,418,418,510,157,672,61,998,1112,20053,86,223,315,391,2553,638,350,438,2277,1345,13064,307,60.1961,849,1.01515,8557,5324,9,1,1,1,1,205,20731,8914,40.649,21.5835
449,311,6604,5802,5802,594,594,656,127,812,91,1197,1325,20037,87,288,520,391,2553,822,475,598,2729,1620,15942,445,67.8354,1242,1.02499,10590,6346,17,1,1,1,1,295,28533,12898,43.4954,21.824
449,363,7515,6558,6558,717,717,786,111,924,129,1393,1548,20026,87,288,520,391,2553,983,578,708,3118,1764,18641,546,69.4656,1515,1.02473,12571,7326,22,1,1,1,1,355,35079,16307,44.6298,22.9353
449,415,8281,7215,7215,846,846,905,112,1022,150,1593,1764,20021,87,288,520,391,2553,1142,684,803,3372,1918,21165,627,69.2818,1722,1.02448,14408,8186,25,1,1,1,1,420,41443,19836,45.7934,23.6424
449,467,8871,7706,7706,940,940,987,86,1116,168,1786,1983,20029,87,288,520,391,2553,1253,754,885,3616,1996,23587,694,70.3141,1882,1.02423,16086,8965,28,1,1,1,1,470,46219,22614,46.8278,24.212
449,519,9262,8028,8028,1009,1009,1050,55,1183,191,1988,2200,20021,87,288,520,391,2553,1323,854,947,3730,2046,25957,757,72.0952,2043,1.02399,17512,9558,32,1,1,1,1,500,50030,24699,47.6476,24.6006
450,51,720,646,646,16,16,43,38,473,0,199,223,20024,11,51,16,426,2608,37,30,17,186,24,2381,9,20.9302,20,1.00079,1098,1098,0,1,1,1,1,5,946,184,22,12.2667
450,103,1275,1132,1132,67,67,102,52,506,5,396,442,20041,27,86,54,422,2608,125,124,68,420,120,5281,44,43.1373,118,1.00265,2741,2203,0,1,1,1,1,30,3433,1257,33.6569,19.0455
450,155,1903,1695,1695,127,127,154,47,551,18,597,671,20056,33,116,85,426,2608,209,202,115,648,309,7830,93,60.3896,249,1.00413,4617,3279,2,1,1,1,1,60,6028,2738,39.1429,22.0806
450,207,2659,2362,2362,184,184,216,60,590,30,798,886,20058,33,116,85,426,2608,314,263,177,961,523,10324,135,62.5,368,1.00409,6593,4314,2,1,1,1,1,90,8975,4094,41.5509,22.6188
450,259,3759,3323,3323,276,276,334,97,650,36,993,1108,20079,49,252,268,426,2608,462,312,262,1520,794,12947,205,61.3772,561,1.01286,8618,5375,4,1,1,1,1,135,13390,5863,40.0898,21.6347
450,311,4918,4326,4326,400,400,457,108,738,58,1192,1330,20080,64,295,363,426,2608,619,378,382,2040,1088,15607,290,63.4573,805,1.01731,10648,6393,7,1,1,1,1,200,19132,8685,41.8643,22.0992
450,363,6355,5564,5564,523,523,601,121,832,86,1396,1547,20065,72,323,433,426,2608,787,515,526,2724,1404,18260,388,64.5591,1063,1.02051,12520,7260,10,1,1,1,1,260,25666,11984,42.7055,23.1799
450,415,7620,6633,6633,686,686,773,157,948,110,1595,1771,20066,86,413,677,426,2608,996,675,655,3291,1599,20920,499,64.5537,1358,1.03209,14285,8094,18,1,1,1,1,340,33496,15461,43.3325,22.9733
450,467,8584,7453,7453,833,833,904,119,1090,137,1793,1990,20060,87,425,726,426,2608,1137,841,778,3683,1745,23682,625,69.1372,1701,1.03414,16020,8944,29,1,1,1,1,415,40585,19271,44.8949,23.4156
450,519,9181,7939,7939,941,941,990,82,1189,166,1992,2212,20054,87,425,726,426,2608,1253,989,870,3860,1803,26200,704,71.1111,1887,1.03379,17402,9484,33,1,1,1,1,470,46201,22299,46.6677,23.926
451,51,887,774,774,24,24,50,39,496,0,196,219,20023,13,44,17,380,2648,44,24,32,344,63,2464,13,26,38,1.00084,1008,1008,0,1,1,1,1,10,1142,179,22.84,8.13636
451,103,1785,1577,1577,93,93,142,81,539,3,395,438,20040,37,98,85,382,2648,156,79,111,769,297,5512,66,46.4789,192,1.00418,2546,2045,1,1,1,1,1,45,4603,1412,32.4155,15.5165
451,155,3057,2695,2695,192,192,244,95,608,16,597,662,20049,52,145,173,382,2648,308,151,220,1332,680,8193,135,55.3279,374,1.00844,4361,3117,5,1,1,1,1,95,9358,3667,38.3525,19.6096
451,207,4682,4130,4130,323,323,416,155,679,42,794,880,20044,72,192,283,382,2648,493,250,365,2130,1085,10995,234,56.25,648,1.01374,6233,4124,8,1,1,1,1,160,15826,6767,38.0433,21.2132
451,259,6321,5546,5546,493,493,598,182,802,74,996,1102,20032,97,254,480,382,2648,746,382,533,2827,1477,13834,351,58.6957,924,1.02328,8197,5191,15,1,1,1,1,245,24823,10893,41.51,22.1853
451,311,7685,6753,6753,686,686,769,166,950,109,1194,1324,20021,111,290,624,382,2648,956,515,708,3409,1745,16755,488,63.459,1283,1.03014,10200,6194,24,1,1,1,1,340,34591,16032,44.9818,23.6112
451,363,8554,7476,7476,851,851,917,136,1090,158,1394,1541,19989,111,290,624,382,2648,1148,641,829,3703,1870,19592,601,65.5398,1606,1.02983,12257,7241,29,1,1,1,1,425,42746,20340,46.615,24.0142
451,415,9120,7957,7957,953,953,996,71,1189,200,1588,1767,19979,111,290,624,382,2648,1264,755,896,3886,1962,22270,687,68.9759,1861,1.02951,14122,8070,38,1,1,1,1,475,48255,23869,48.4488,25.2582
451,467,9463,8234,8234,1036,1036,1064,61,1256,218,1789,1991,19984,111,290,624,382,2648,1326,842,945,3990,1996,24758,749,70.3947,2009,1.0292,15883,8919,40,1,1,1,1,515,52016,25958,48.8872,25.2756
451,519,9706,8432,8432,1074,1074,1093,34,1294,242,1984,2218,19992,111,290,624,382,2648,1375,901,1000,4043,2017,27042,775,70.9058,2071,1.0289,17312,9482,42,1,1,1,1,535,54498,27687,49.8609,25.9728
452,51,722,628,628,16,16,48,42,456,0,197,222,20025,10,50,16,394,2631,28,41,19,207,33,2404,8,16.6667,21,1.00079,1032,1032,1,1,1,1,1,5,916,170,19.0833,10.625
452,103,1426,1257,1257,71,71,114,64,487,11,397,442,20034,29,77,50,392,2631,126,163,84,456,207,5299,48,42.1053,112,1.00245,2621,2124,2,1,1,1,1,35,3616,1367,31.7193,19.5286
452,155,2416,2139,2139,148,148,193,78,529,26,599,662,20037,42,153,147,393,2631,257,265,151,849,512,7882,98,50.7772,251,1.00717,4507,3241,5,1,1,1,1,70,7565,3251,39.1969,22.2671
452,207,3728,3294,3294,256,256,322,112,591,49,796,880,20035,58,206,255,393,2631,407,327,273,1526,821,10522,167,51.8634,446,1.01236,6494,4275,7,1,1,1,1,125,12561,5716,39.0093,22.5929
452,259,4954,4360,4360,398,398,468,130,691,73,998,1101,20030,69,254,384,393,2631,610,412,402,2023,1131,13298,286,61.1111,759,1.01854,8454,5227,10,1,1,1,1,195,19079,8549,40.7671,21.8645
452,311,5930,5219,5219,540,540,597,108,811,98,1195,1318,20025,72,296,499,393,2631,794,501,515,2394,1360,16113,391,65.4941,1067,1.02397,10379,6197,17,1,1,1,1,270,25618,11914,42.9112,22.3527
